ID;DEPARTAMENTO;CIUDAD;LOCALIDAD;BARRIO
685;1;1;2;32
700;1;1;2;17
701;1;1;2;32
706;1;1;2;31
708;1;1;3;38
709;1;1;2;31
713;1;1;2;31
727;1;1;2;17
728;1;1;2;31
729;1;1;3;38
730;1;1;2;26
731;1;1;2;31
733;1;1;2;31
737;1;1;2;12
742;1;1;2;17
744;1;1;2;31
750;1;1;2;17
751;1;1;2;31
756;1;1;2;26
766;1;1;2;17
773;1;1;2;31
777;1;1;2;17
781;1;1;2;26
782;1;1;2;26
793;1;1;2;30
794;1;1;3;42
795;1;1;2;26
797;1;1;2;27
800;1;1;2;26
803;1;1;2;12
804;1;1;2;17
809;1;1;2;31
811;1;1;2;17
812;1;1;3;38
815;1;1;2;17
816;1;1;2;31
817;1;1;2;26
819;1;1;2;32
822;1;1;2;31
823;1;1;2;17
826;1;1;2;32
828;1;1;2;17
829;1;1;2;17
839;1;1;2;17
840;1;1;2;30
841;1;1;2;30
842;1;1;2;31
844;1;1;2;29
847;1;1;2;31
848;1;1;2;31
850;1;1;3;38
853;1;1;2;115
854;1;1;3;42
856;1;1;3;42
857;1;1;2;27
858;1;1;2;17
859;1;1;2;32
860;1;1;2;30
862;1;1;3;38
864;1;1;2;17
865;1;1;2;26
866;1;1;3;38
868;1;1;2;17
869;1;1;2;12
871;1;1;2;30
872;1;1;2;17
875;1;1;2;26
876;1;1;2;17
879;1;1;2;17
880;1;1;2;17
881;1;1;2;12
882;1;1;2;31
883;1;1;2;31
884;1;1;2;32
885;1;1;2;17
887;1;1;2;17
889;1;1;2;32
890;1;1;2;32
891;1;1;2;31
892;1;1;2;17
893;1;1;2;32
894;1;1;2;30
895;1;1;2;32
896;1;1;2;17
899;1;1;2;17
900;1;1;2;32
902;1;1;2;31
903;1;1;2;31
904;1;1;2;26
908;1;1;2;31
910;1;1;2;17
911;1;1;2;17
912;1;1;2;32
914;1;1;2;17
916;1;1;2;31
917;1;1;2;26
918;1;1;2;32
920;1;1;2;17
921;1;1;2;32
