tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;term;rec;ron;multi;saldo anterior 
1607;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;607;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1608;9/01/2020;27/09/2020;51008;0;0;3992;110000;;;due;608;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;55000
1609;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;609;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1610;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;610;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1611;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;611;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1612;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;612;8;;3;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1613;9/01/2020;27/09/2020;21008;0;0;3992;80000;;;due;613;8;;2;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0;55000
1614;9/01/2020;27/09/2020;51008;0;0;3992;50000;;;due;614;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;-5000
1615;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;615;8;;3;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1616;9/01/2020;27/09/2020;61008;0;0;3992;110000;cash;;due;616;8;13699;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;45000
1617;9/01/2020;27/09/2020;61008;0;0;3992;160968;;;due;617;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;95968
1618;9/01/2020;27/09/2020;61008;0;0;3992;65000;cash;;paid;618;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1619;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;619;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1620;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;620;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1621;9/01/2020;27/09/2020;51008;0;0;3992;55000;cash;;due;621;8;2000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1622;9/01/2020;27/09/2020;61008;0;0;3992;110000;;;due;622;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;45000
1623;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;623;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1624;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;624;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1625;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;625;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1626;9/01/2020;27/09/2020;61008;0;0;3992;65000;cash;;paid;626;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1627;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;627;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1628;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;628;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1629;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;629;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1630;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;630;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1631;9/01/2020;27/09/2020;66008;0;0;3992;65000;;;due;631;8;0;2;yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-5000
1632;9/01/2020;27/09/2020;51008;0;0;3992;70000;;;due;632;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;15000
1633;9/01/2020;27/09/2020;61008;0;0;3992;108710;;;due;633;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;43710
1634;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;634;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1635;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;635;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1636;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;636;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1637;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;637;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1638;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;638;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1639;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;639;8;;3;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1640;9/01/2020;27/09/2020;61008;0;0;3992;65000;cash;;due;640;8;2167;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1641;9/01/2020;27/09/2020;61008;0;0;3992;150645;cash;;paid;641;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;85645
1642;9/01/2020;27/09/2020;61008;0;0;3992;62833;cash;;paid;642;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-2167
1643;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;643;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1644;9/01/2020;27/09/2020;61008;0;0;3992;65000;cash;;paid;644;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1645;9/01/2020;27/09/2020;61008;0;0;3992;65000;cash;;paid;645;8;65000;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1646;9/01/2020;27/09/2020;61008;0;0;3992;130000;;;due;646;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;65000
1647;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;647;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1648;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;648;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1649;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;649;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1650;9/01/2020;27/09/2020;51008;0;0;3992;55000;;;due;650;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;0
1651;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;651;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1652;9/01/2020;27/09/2020;61008;0;0;3992;55000;;;due;652;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;-10000
1653;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;653;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
1654;9/01/2020;27/09/2020;51008;0;0;3992;65000;;;due;654;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0;10000
1655;9/01/2020;27/09/2020;61008;0;0;3992;65000;;;due;655;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0;0
