tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;total;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;term;rec;ron;multi
1281;09/01/2020;27/09/2020;41008;0;0;3992;45000;EFECTIVOS ;;due;281;8;0;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1282;09/01/2020;27/09/2020;45000;0;0;;45000;EFECTIVOS ;;due;282;8;0;;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
1283;09/01/2020;27/09/2020;45000;0;0;;0;EFECTIVOS ;;paid;283;8;45000;;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
1284;09/01/2020;27/09/2020;41008;0;0;3992;45000;EFECTIVOS ;;due;284;8;0;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1285;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;285;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1286;09/01/2020;27/09/2020;41008;0;0;3992;87397;EFECTIVOS ;;due;286;8;;3;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1287;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;287;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1288;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;288;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1289;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;289;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1290;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;290;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1291;09/01/2020;27/09/2020;55000;0;0;;55000;EFECTIVOS ;;due;291;8;0;1;No;0;%;Yopal ;No;5Megas;0;no;Activo;0
1292;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;292;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1293;09/01/2020;27/09/2020;41008;0;0;3992;45000;EFECTIVOS ;;due;293;8;0;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1294;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;294;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1295;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;295;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1296;09/01/2020;27/09/2020;45000;0;0;;45000;EFECTIVOS ;;due;296;8;0;;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
1297;09/01/2020;27/09/2020;41008;0;0;3992;77333;EFECTIVOS ;;due;297;8;;3;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1298;09/01/2020;27/09/2020;55000;0;0;;74516;EFECTIVOS ;;due;298;8;;2;No;0;%;Yopal ;No;5Megas;0;no;Activo;0
1299;09/01/2020;27/09/2020;41008;0;0;3992;45000;EFECTIVOS ;;due;299;8;0;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1300;09/01/2020;27/09/2020;41008;0;0;3992;45000;EFECTIVOS ;;due;300;8;0;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1301;09/01/2020;27/09/2020;41008;0;0;3992;45000;EFECTIVOS ;;due;301;8;0;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1302;09/01/2020;27/09/2020;55000;0;0;;55000;EFECTIVOS ;;due;302;8;0;1;No;0;%;Yopal ;No;5Megas;0;no;Activo;0
1303;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;303;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1304;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;304;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1305;09/01/2020;27/09/2020;41008;0;0;3992;45000;EFECTIVOS ;;due;305;8;0;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1306;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;306;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1307;09/01/2020;27/09/2020;41008;0;0;3992;45000;EFECTIVOS ;;due;307;8;0;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1308;09/01/2020;27/09/2020;21008;0;0;3992;17500;EFECTIVOS ;;due;308;8;7500;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
1309;09/01/2020;27/09/2020;36008;0;0;3992;40000;EFECTIVOS ;;due;309;8;0;2;yes;0;%;Yopal ;Television ;1Mega;0;no;Activo;0
1310;09/01/2020;27/09/2020;51008;0;0;3992;105161;EFECTIVOS ;;due;310;8;;3;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1311;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;311;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1312;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;312;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1313;09/01/2020;27/09/2020;41008;0;0;3992;0;EFECTIVOS ;;paid;313;8;45000;2;Yes;0;%;Yopal ;Television ;2Megas;0;no;Activo;0
1314;09/01/2020;27/09/2020;21008;0;0;3992;20941;EFECTIVOS ;;due;314;8;4059;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
1315;09/01/2020;27/09/2020;55000;0;0;;0;EFECTIVOS ;;paid;315;8;55000;1;No;0;%;Yopal ;No;5Megas;0;no;Activo;0
1316;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;316;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1317;09/01/2020;27/09/2020;61008;0;0;3992;62833;EFECTIVOS ;;due;317;8;2167;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1318;09/01/2020;27/09/2020;95000;0;0;;95000;EFECTIVOS ;;due;318;8;0;;No;0;%;Yopal ;No;10Megas;0;no;Activo;0
1319;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;319;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1320;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;320;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1321;09/01/2020;27/09/2020;45000;0;0;;45000;EFECTIVOS ;;due;321;8;0;;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
1322;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;322;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1323;09/01/2020;27/09/2020;36008;0;0;3992;40000;EFECTIVOS ;;due;323;8;0;2;yes;0;%;Yopal ;Television ;1Mega;0;no;Activo;0
1324;09/01/2020;27/09/2020;55000;0;0;;55000;EFECTIVOS ;;due;324;8;0;1;No;0;%;Yopal ;No;5Megas;0;no;Activo;0
1325;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;325;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1326;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;326;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1327;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;327;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1328;09/01/2020;27/09/2020;51008;0;0;3992;90000;EFECTIVOS ;;due;328;8;;3;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1329;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;329;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1330;09/01/2020;27/09/2020;21008;0;0;3992;0;EFECTIVOS ;;paid;330;8;25000;1;Yes;0;%;Yopal ;Television ;No;0;no;Activo;0
1331;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;331;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1332;09/01/2020;27/09/2020;36008;0;0;3992;40000;EFECTIVOS ;;due;332;8;0;2;yes;0;%;Yopal ;Television ;1Mega;0;no;Activo;0
1333;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;333;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1334;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;334;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1335;09/01/2020;27/09/2020;45000;0;0;;0;EFECTIVOS ;;paid;335;8;45000;;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
1336;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;336;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1337;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;337;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1338;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;338;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1339;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;339;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1340;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;340;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1341;09/01/2020;27/09/2020;36008;0;0;3992;40000;EFECTIVOS ;;due;341;8;0;2;yes;0;%;Yopal ;Television ;1Mega;0;no;Activo;0
1342;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;342;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1343;09/01/2020;27/09/2020;45000;0;0;;45000;EFECTIVOS ;;due;343;8;0;;No;0;%;Yopal ;No;3Megas;0;no;Activo;0
1344;09/01/2020;27/09/2020;51008;0;0;3992;0;EFECTIVOS ;;paid;344;8;55000;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1345;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;345;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1346;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;346;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
1347;09/01/2020;27/09/2020;51008;0;0;3992;55000;EFECTIVOS ;;due;347;8;0;2;Yes;0;%;Yopal ;Television ;3Megas;0;no;Activo;0
1348;09/01/2020;27/09/2020;61008;0;0;3992;65000;EFECTIVOS ;;due;348;8;0;2;Yes;0;%;Yopal ;Television ;5Megas;0;no;Activo;0
